Name,Price,URL,Image URL
"HP Victus Gaming Laptop Intel® Core™ I7-13700H, 16GB Ram, 512GB SSD, NVIDIA® GeForce RTX™ 4050 6GB, 15.6"" FHD, Win11, 15-fa1109ne - Performance Blue","EGP 50,210.00",https://www.jumia.com.eg/hp-victus-gaming-laptop-intelr-coretm-i7-13700h-16gb-ram-512gb-ssd-nvidiar-geforce-rtxtm-4050-6gb-15.6-fhd-win11-15-fa1109ne-performance-blue-131699038.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/0996131/1.jpg?0419
Asus Laptop Ryzen 7 - 7730U - 8G - 512 Ssd - Redo - 15.6 Fhd - Win 11 - Cool Quiet Blue-D1502Ya-Nj007W,"EGP 25,000.00",https://www.jumia.com.eg/asus-laptop-ryzen-7-7730u-8g-512-ssd-redo-15.6-fhd-win-11-cool-quiet-blue-d1502ya-nj007w-108628548.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/5826801/1.jpg?8427
Apple MacBook Pro 14 M4 10C CPU 10C GPU / 16GB / 512GB / AR,"EGP 107,700.00",https://www.jumia.com.eg/apple-macbook-pro-14-m4-10c-cpu-10c-gpu-16gb-512gb-ar-132352513.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/5253231/1.jpg?1753
Apple MacBook Air 13 M4 10C CPU 8C GPU / 16GB / 256GB / AR / sky blue,"EGP 69,900.00",https://www.jumia.com.eg/apple-macbook-air-13-m4-10c-cpu-8c-gpu-16gb-256gb-ar-sky-blue-133471343.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/3174331/1.jpg?4170
"Asus Vivobook 16X K3605VV N1116W Laptop  Intel Core I7 13700H  16G RAM  512GB NVMe SSD  GeForce RTX 4060 8GB  16 Inch FHD IPS 120Hz 100% SRGB, Windows 11  Indie Black","EGP 51,999.00",https://www.jumia.com.eg/asus-vivobook-16x-k3605vv-n1116w-laptop-intel-core-i7-13700h-16g-ram-512gb-nvme-ssd-geforce-rtx-4060-8gb-16-inch-fhd-ips-120hz-100-srgb-windows-11-indie-black-130163197.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/1361031/1.jpg?7755
MSI Modern15 ( 9S7-15S121-492 ) F13MG-492XEG CPU i3-1315U RAM 8GB DDR4 HDD 512GB NVMe PCIe SSD Gen4x4 VGA Intel UHD Graphi 15.6 FHD (1920*1080) 60Hz IPS DOS Platinum Gray),"EGP 16,199.00",https://www.jumia.com.eg/msi-modern15-9s7-15s121-492-f13mg-492xeg-cpu-i3-1315u-ram-8gb-ddr4-hdd-512gb-nvme-pcie-ssd-gen4x4-vga-intel-uhd-graphi-15.6-fhd-19201080-60hz-ips-dos-platinum-gray-133384935.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/9483331/1.jpg?2128
Apple MacBook Air 13 M2 8C CPU 8C GPU / 16GB / 256GB / AR / Space Gray,"EGP 51,500.00",https://www.jumia.com.eg/apple-macbook-air-13-m2-8c-cpu-8c-gpu-16gb-256gb-ar-space-gray-133538630.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/03/6835331/1.jpg?3643
Apple MacBook Air 15 M3 8C CPU 10C GPU / 16GB / 256GB / AR / silver,"EGP 69,900.00",https://www.jumia.com.eg/apple-macbook-air-15-m3-8c-cpu-10c-gpu-16gb-256gb-ar-silver-133471528.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/5174331/1.jpg?5663
Asus LapTop TUF Gaming A15 FA506NFR-HN007W - 15.6 Inch - AMD Ryzen 7 - 8GB/512GB SSD - RTX2050 - WIN11 - Graphite Black,"EGP 45,899.00",https://www.jumia.com.eg/asus-laptop-tuf-gaming-a15-fa506nfr-hn007w-15.6-inch-amd-ryzen-7-8gb512gb-ssd-rtx2050-win11-graphite-black-130115888.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/8511031/1.jpg?0444
Apple MacBook Pro 16 M3 Max 14C CPU 30C GPU / 36GB / 1TB / space black / EN,"EGP 199,000.00",https://www.jumia.com.eg/apple-macbook-pro-16-m3-max-14c-cpu-30c-gpu-36gb-1tb-space-black-en-133468366.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/3864331/1.jpg?7905
"Lenovo IdeaPad Slim 3 15IRH10 Laptop + Bag 83K100FLED – Intel Core i5-13420H, 16GB DDR5, 512GB SSD, 15.3 WUXGA IPS Display, Intel UHD Graphics, DOS, Luna Grey","EGP 33,000.00",https://www.jumia.com.eg/lenovo-ideapad-slim-3-15irh10-laptop-bag-83k100fled-intel-core-i5-13420h-16gb-ddr5-512gb-ssd-15.3-wuxga-ips-display-intel-uhd-graphics-dos-luna-grey-133184056.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/0481331/1.jpg?2886
"MSI Thin 15 B13UCX  Intel Core I7-13620H 512GB SSD 16GB Ram GeForce RTX 2050 4GB 15.6"" Inch FHD","EGP 33,999.00",https://www.jumia.com.eg/msi-thin-15-b13ucx-intel-core-i7-13620h-512gb-ssd-16gb-ram-geforce-rtx-2050-4gb-15.6-inch-fhd-129194478.html,https://eg.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/4491921/1.jpg?1342
